"","Estimate","Std. Error","df","t value","Pr(>|t|)","p value"
"(Intercept)",5.40600484495516,0.0474934732024141,48.108736393901,113.82626875729,3.64948849685422e-60,0
"condition_mlow ",-0.29341854922456,0.0406379517682659,46.837272893737,-7.22030851598407,3.86232444760444e-09,0
"condition_mmoderate ",-0.754520687950885,0.0546013796251927,46.7676531622967,-13.8187110496152,3.96350644246357e-18,0
"tasksspontaneous speech",-0.467410636408018,0.0600126458300775,45.6799174150188,-7.78853573181001,6.35703796415953e-10,0
"trial2",0.00145892989395295,0.0279883869270825,206.860881930569,0.0521262585712377,0.958478391724478,0.9584
"trial3",0.0363684320040199,0.0295263617998685,76.8207750577509,1.23172750677945,0.221808029710392,0.2181
