"","Estimate","Std. Error","df","t value","Pr(>|t|)","p value"
"(Intercept)",4.75391532438864,0.0392538161009173,46.9985024672758,121.107087070639,2.62105927548365e-60,0
"condition_mlow ",-0.196505146298505,0.0338902767866846,41.6605071862649,-5.79827504907579,7.95111120447029e-07,0
"condition_mmoderate ",-0.533054974479168,0.0435751210582921,44.5290390027304,-12.2330119006687,7.75717976836209e-16,0
"tasksspontaneous speech",-0.827518840942423,0.0655356484743477,46.9706914017794,-12.6270031686088,1.04302499469309e-16,0
"condition_mlow :tasksspontaneous speech",0.197138580203315,0.0563432746276822,46.0895054490396,3.49888396629433,0.00104729179020536,5e-04
"condition_mmoderate :tasksspontaneous speech",0.223445384638281,0.0624941391119453,44.1096041591298,3.57546144028042,0.000862232065455333,3e-04
