"","Estimate","Std. Error","df","t value","Pr(>|t|)","p value"
"(Intercept)",2.69728671437709,0.0214948235779487,56.8014155328055,125.485408363352,3.99179086942598e-71,0
"condition_mlow ",-0.119138476672369,0.023046013255304,40.6311441140584,-5.16959160582578,6.63165305290727e-06,0
"condition_mmoderate ",-0.325772870391244,0.0268564493056644,44.5546033467368,-12.1301541645915,1.02841936676325e-15,0
"tasksspontaneous speech",-0.457357351971205,0.0378956187619262,46.5816849659568,-12.068871466237,6.0879013180389e-16,0
"trial2",0.00128760343502348,0.0111920234288834,591.875023469457,0.115046527842368,0.908447261165176,0.9084
"trial3",0.0364263678508558,0.0112725566589817,592.532162771753,3.23142024944557,0.00130007725384269,0.0012
"condition_mlow :tasksspontaneous speech",0.0742435765871514,0.037203602115806,47.0312166156949,1.99560183328616,0.051787424184897,0.046
"condition_mmoderate :tasksspontaneous speech",0.0774986522193504,0.0414506763610551,45.4170359132913,1.86965953328,0.0679859272901199,0.0615
