,speaker,condition_m,condition_s,mov_av_rhythm,env8_av_rhythm,env8_av_rhythmimf1,env8_av_rhythmimf2
919,zbw,speech only,reading1,NA,4.951237809,5.550693837,2.869368236
920,zbw,speech only,reading2,NA,4.635842381,5.194488477,2.727942984
921,zbw,speech only,reading3,NA,4.849684523,5.231984205,2.860696517
922,zbw,speech only,spont speech1,NA,3.169088675,5.533194933,2.146887861
923,zbw,speech only,spont speech2,NA,2.566150774,3.583370764,1.507587859
924,zbw,speech only,spont speech3,NA,3.875582169,5.297737858,2.273011115
925,zib,speech only,reading1,NA,4.931640625,5.392216665,2.760660587
926,zib,speech only,reading2,NA,4.695400915,5.030084236,2.659574468
927,zib,speech only,reading3,NA,4.584593903,5.160537069,2.736494456
928,zib,speech only,spont speech1,NA,3.495515621,8.108019317,2.105124663
929,zib,speech only,spont speech2,NA,3.448724623,6.194690265,2.058967259
930,zib,speech only,spont speech3,NA,3.072227199,5.633522445,1.840470416
931,zmq,speech only,reading1,NA,4.671717172,5.427237158,2.625931069
932,zmq,speech only,reading2,NA,4.803098773,5.541951282,2.732951588
933,zmq,speech only,reading3,NA,4.946524064,5.519264098,2.719637382
934,zmq,speech only,spont speech1,NA,3.976372281,5.323440426,2.155343305
935,zmq,speech only,spont speech2,NA,4.175349806,4.889848169,2.377137747
936,zmq,speech only,spont speech3,NA,3.985342872,5.695341127,2.347762289
