"condition_m","tasks","env8_av_rhythm","sd"
"rest","read speech",4.75391532438889,0.290829341424973
"rest","spontaneous speech",3.92737018481429,0.462934931308127
"low ","read speech",4.56017228039568,0.290581280664935
"low ","spontaneous speech",3.92850787675887,0.388532292252196
"moderate ","read speech",4.23040252201493,0.329943488825532
"moderate ","spontaneous speech",3.6191783518227,0.345251309073218
