"condition_m","tasks","env8_av_rhythmimf1","sd"
"low ","read speech",5.13609367092806,0.320625054219906
"low ","spontaneous speech",4.64595760548227,0.498790561777043
"moderate ","read speech",4.7200570076194,0.368583975072747
"moderate ","spontaneous speech",4.15855860102128,0.427266725407933
"speech only","read speech",5.36809778775694,0.290450429368955
"speech only","spontaneous speech",5.2280640840922,1.42075517390088
