"condition_m","tasks","mov_av_rhythm","sd"
"low ","no speech",0.902573640577778,0.197259285562466
"low ","read speech",0.898616469786765,0.132691356768746
"low ","spontaneous speech",0.897576044985507,0.143349271641005
"moderate ","no speech",0.966335436978261,0.145854210646321
"moderate ","read speech",0.968213473984615,0.156680386598279
"moderate ","spontaneous speech",0.950828154673913,0.169831492626507
