"","speaker","condition_m","condition_s","mov_av_rhythm","env12_av_rhythm","env12_av_rhythmimf1","env12_av_rhythmimf2"
"1","acp","low workload","reading1",0.909607731665719,5.19393669193045,6.05790645879733,2.94544237420507
"2","acp","low workload","reading2",0.904546536538919,5.47690879554421,6.8677494199536,3.41186027619821
"3","acp","low workload","reading3",0.888998641807631,5.62277580071174,6.83111954459203,3.30048676243619
"4","acp","low workload","spont speech1",0.851818988464951,5.19548674888481,6.40279903783075,2.9285776728735
"5","acp","low workload","spont speech2",0.847725120620463,3.9154477345701,5.3068141277203,2.38339656326713
"6","acp","low workload","spont speech3",0.916110456746499,4.6112507584294,5.8261700095511,2.73283303691493
"7","acp","moderate workload","reading1",0.926030491247883,5.20296030500112,6.25841184387618,3.04591265397536
"8","acp","moderate workload","reading2",0.910151691948658,5.18797851674094,6.10146252285192,3.03135485363878
"9","acp","moderate workload","reading3",0.900225056264066,5.22478736330498,6.46494106209746,3.08626974483597
"10","acp","moderate workload","spont speech1",0.923378258639183,4.32367925827328,5.04888236104099,2.42524459142897
"11","acp","moderate workload","spont speech2",0.921047496389962,4.27007861877601,5.04855865577308,2.42162495661898
"12","acp","moderate workload","spont speech3",0.926981791429097,3.75264656494123,4.2546980478015,2.10933508503029
"13","brx","low workload","reading1",0.961328381035613,5.82964482349131,6.84221886466652,3.28471096704484
"14","brx","low workload","reading2",0.963572267920094,5.96356885949646,7.14783012299838,3.36114974501623
"15","brx","low workload","reading3",0.973828362751065,5.58554329969491,6.89897923266455,3.26137963397466
"16","brx","low workload","spont speech1",0.938511326860841,6.22208532265517,7.67452612112806,3.44880677444188
"17","brx","low workload","spont speech2",0.95723435025136,5.84895334519086,6.87508551101382,3.10714163501352
"18","brx","low workload","spont speech3",0.954530319286692,4.92517106370522,5.86836424834449,2.74453836864639
"19","brx","moderate workload","reading1",1.04780615586117,5.60349419409822,6.44266666666667,3.14035462508011
"20","brx","moderate workload","reading2",1.03412616339193,5.5224564619615,6.52995761255585,3.11640696608616
"21","brx","moderate workload","reading3",1.0281517747858,5.5396370582617,6.61571530929066,3.23508267433501
"22","brx","moderate workload","spont speech1",1.06067810248345,5.11462565293093,6.27539175856065,2.87425149700599
"23","brx","moderate workload","spont speech2",1.06378907894233,5.46038948761581,6.64775950085082,3.07284768211921
"24","brx","moderate workload","spont speech3",1.06253140928997,5.05485050548505,6.15903061590306,3.00627802690583
"25","byo","low workload","reading1",0.709300995309461,5.68371782012705,7.03942971708621,3.4982174688057
"26","byo","low workload","reading2",0.749853544229643,5.98694575737115,7.06570657065707,3.51232691658224
"27","byo","low workload","reading3",0.786463298379409,5.9097624730083,6.70454545454545,3.38290384833693
"28","byo","low workload","spont speech1",0.835141441847136,5.11931634956466,6.82038052241213,3.11503853447928
"29","byo","low workload","spont speech2",0.761052042529379,5.01325088339223,6.49293286219081,2.79988211022694
